                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1128,                 3.6448,                 1.9993,                0.59978,                0.55461,                0.57484,                0.24163,                 1.8711,                 2.5208,                 1.8433,              0.0033282,              0.0033282,              0.0033282
                      2,                 1.7379,                 2.4369,                 1.6878,                0.70874,                0.59951,                0.64674,                0.28493,                 1.7114,                 1.9688,                 1.7834,              0.0066483,              0.0066483,              0.0066483
                      3,                 1.7263,                 2.1438,                 1.7031,                0.64873,                  0.512,                0.55952,                0.23185,                 1.8792,                 2.0611,                 1.8999,              0.0099553,              0.0099553,              0.0099553
                      4,                  1.713,                  2.018,                 1.7089,                 0.6903,                0.60208,                0.64409,                0.29508,                 1.7921,                 1.7895,                 1.8274,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6373,                 1.8467,                 1.6479,                 0.7341,                0.72329,                0.74213,                0.37035,                 1.6231,                 1.5554,                 1.7057,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5684,                 1.7178,                 1.5998,                0.78649,                0.68213,                0.73724,                0.38314,                 1.5315,                 1.4484,                 1.6126,               0.009901,               0.009901,               0.009901
                      7,                 1.5356,                 1.6437,                  1.575,                0.82792,                0.71178,                0.78282,                0.40053,                 1.6208,                 1.3473,                 1.6969,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.5012,                 1.5477,                 1.5333,                 0.8095,                0.73457,                0.80354,                0.45197,                 1.4402,                 1.2969,                  1.569,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4684,                 1.4942,                 1.5143,                0.80053,                0.77116,                 0.8129,                0.44992,                 1.4602,                 1.2123,                 1.5645,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4483,                 1.4232,                 1.4885,                0.83301,                0.79278,                0.84176,                0.48584,                 1.3984,                 1.1591,                 1.5153,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4149,                 1.3551,                 1.4673,                0.82763,                0.78971,                0.84132,                0.50491,                 1.3651,                 1.0798,                 1.5016,               0.009802,               0.009802,               0.009802
                     12,                 1.3914,                 1.3194,                 1.4453,                0.84364,                0.78545,                0.85024,                0.51496,                 1.3518,                 1.0469,                 1.4572,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3871,                 1.2896,                 1.4411,                0.85661,                0.80468,                 0.8601,                0.51101,                  1.361,                 1.0406,                 1.4866,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.3635,                 1.2434,                 1.4198,                0.85151,                0.80146,                0.86253,                0.52016,                 1.3465,                 0.9911,                 1.4682,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.3466,                 1.2213,                 1.4042,                0.84808,                0.81405,                 0.8696,                0.52782,                 1.3476,                0.97596,                 1.4756,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.3349,                  1.195,                 1.3992,                0.84689,                 0.8162,                0.87067,                0.54501,                 1.2682,                0.97113,                 1.4414,               0.009703,               0.009703,               0.009703
                     17,                  1.314,                 1.1654,                   1.38,                0.86788,                0.81149,                0.88211,                0.56717,                 1.2501,                0.92975,                 1.4179,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2945,                 1.1337,                 1.3691,                0.88091,                0.82927,                0.89917,                0.57085,                 1.2455,                0.88864,                 1.4197,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2846,                 1.1247,                 1.3656,                0.85786,                0.83264,                0.88917,                0.57485,                 1.2083,                0.91421,                 1.4055,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2752,                 1.0867,                 1.3526,                0.86803,                0.84014,                0.90162,                0.58248,                 1.2301,                0.83713,                 1.3979,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.2606,                 1.0686,                 1.3419,                0.89355,                0.81524,                0.90123,                0.58474,                 1.2111,                0.85424,                 1.3864,               0.009604,               0.009604,               0.009604
                     22,                 1.2565,                  1.058,                 1.3384,                0.88431,                0.82788,                  0.906,                0.59183,                 1.1986,                0.83038,                 1.3844,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.2517,                 1.0439,                 1.3346,                0.90052,                0.84392,                0.91474,                0.60127,                 1.1912,                0.77818,                 1.3652,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2362,                 1.0214,                  1.323,                 0.8845,                0.84031,                0.90586,                0.60236,                  1.169,                0.79212,                 1.3634,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2266,                 1.0154,                 1.3207,                0.87529,                0.86032,                0.90852,                0.60649,                 1.1741,                0.79334,                 1.3725,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.2129,                 0.9942,                 1.3093,                0.90522,                0.85807,                0.92467,                0.62265,                 1.1515,                  0.758,                 1.3565,               0.009505,               0.009505,               0.009505
                     27,                 1.2021,                0.99341,                 1.3065,                0.88967,                0.85378,                0.91882,                0.62327,                 1.1184,                0.74785,                 1.3125,              0.0094852,              0.0094852,              0.0094852
